,p value
REST,0.616990167
REV3L,0.233718719
RFC1,0.329167841
RFC2,0.63068828
RFC3,0.113634891
RFC4,0.703268116
RFC5,0.863105394
RFNG,0.044403436
TRIM27,0.911145882
RFX1,0.117973256
RFX2,0.742987733
RFX3,0.683035493
RFX5,0.559089937
RFXAP,0.242659328
RGS1,0.1723463
RGS2,0.187438378
RGS3,0.365104228
RGS10,0.500425373
RGS12,0.082765896
RGS13,0.963456513
RGS16,0.503912656
RHEB,0.877165728
RING1,0.216476212
RIT1,0.306135717
RLF,0.957231606
RLN2,0.972529987
RMRP,0.108084692
RN7SL1,0.092019995
RN7SL4P,0.442594308
RNASE4,0.640624197
RNASE6,0.799043252
RNASEL,0.287410135
SNORA63,0.01116793
SNORA62,0.460673812
RNF2,0.897871501
BRD2,0.062424758
RNF4,0.179517978
RNF5,0.664121896
RNF6,0.189254615
RNH1,0.021286156
RNPEP,0.788481868
ABCE1,0.766445621
RNU1-4,0.611916509
SNORD15A,0.907351304
SNORA73A,0.241191639
RNY1,0.81407151
RNY3,0.569271781
ROBO1,0.052133509
ROCK1,0.155376378
ROM1,0.216140827
RORA,0.31962842
RP9,0.616181526
RP2,0.377084295
RPGR,0.902035863
RPA1,0.667938755
RPA2,0.603877336
RPA3,0.561123984
RPE,0.824081045
RPL3,0.904262291
RPL4,0.511773225
RPL5,0.491038059
RPL9P7,0.20056593
RPL6,0.870845388
RPL7,0.527175101
RPL7A,0.426249331
RPL8,0.785023191
RPL9,0.538599825
RPL10,0.008777187
RPL11,0.502068647
RPL12,0.407316531
RPL13,0.812627943
RPL15,0.462405539
RPL17,0.679654016
RPL18,0.682850899
RPL18A,0.296674902
RPL19,0.259168535
RPL21,0.5716672
RPL22,0.247727706
RPL23A,0.7064065
MRPL23,0.658005583
RPL24,0.314160239
RPL26,0.226130948
RPL27,0.245728713
RPL30,0.707838945
RPL27A,0.771211632
RPL28,0.491693835
RPL29,0.78544259
RPL31,0.329335712
RPL32,0.96907576
RPL32P1,0.436057826
RPL34,0.286829049
RPL35A,0.396272112
RPL36AL,0.892516387
RPL37,0.848998025
RPL37A,0.520443153
RPL38,0.725514661
RPL39,0.227113765
RPL41,0.853715341
RPL41P5,0.123212113
RPL36A,0.272339724
RPL7P1,0.151578349
RPLP0,0.765250288
RPLP1,0.01558409
RPLP2,0.349551788
MRPL12,0.952854773
MRPS12,0.347981222
RPN1,0.915030913
RPN2,0.885030453
RPS2,0.864599997
RPS3,0.319461024
RPS3A,0.201472727
RPS4X,0.406939511
RPS4Y1,0.88085607
RPS5,0.513181935
RPS6,0.406491197
RPS6KA1,0.882347597
RPS6KA2,0.434699111
RPS6KA3,0.967856479
RPS6KB1,0.997222161
RPS6KB2,0.17920281
RPS7,0.134659287
RPS8,0.887914598
RPS9,0.182838661
RPS10,0.607300424
RPS11,0.29261481
RPS12,0.395468592
RPS13,0.766047769
RPS14,0.352783114
RPS15,0.344926475
RPS15A,0.359882391
RPS16,0.054340573
RPS17,0.593718981
RPS18,0.312047647
RPS19,0.272723698
RPS20,0.507005644
RPS20P3,0.23213411
RPS21,0.239346835
RPS23,0.381295176
RPS24,0.103362184
RPS25,0.517368228
RPS26,0.80711217
RPS27,0.389367906
RPS27A,0.05553348
RPS28,0.538171362
RPS29,0.127157416
RRAD,0.975450754
RRAS,0.228080207
RRBP1,0.963665159
RREB1,0.391518027
RRM1,0.846913687
RRM2,0.756810709
RTKN,0.665608246
CLIP1,0.709516484
RSU1,0.145420203
RTN2,0.609032177
RXRA,0.284102878
RXRB,0.655910515
RYK,0.182965538
SORT1,0.135946764
S100A4,0.85416741
S100A6,0.52259973
S100A9,0.211380932
S100A11,0.02566042
S100A13,0.886756186
VPS52,0.979431997
SAFB,0.632304907
ACSM3,0.500910634
SALL2,0.842915828
MAPK12,0.75981449
SARS1,0.2487486
TSPAN31,0.547624173
SAT1,0.982006108
SBF1,0.192709803
MSMO1,0.689966263
SC5D,0.18249657
ATXN1,0.718220825
ATXN2,0.029003633
ATXN7,0.855417769
SCD,0.693974824
SCML1,0.702204201
SCN3A,0.507685524
SCNN1D,0.50635139
SCO1,0.280833844
SCP2,0.818357727
CCL3,0.048545199
CCL3L1,0.583008113
CCL4,0.251866766
CCL5,0.224038638
CCL17,0.526336543
CCL22,0.95511883
CCL25,0.587904794
XCL1,0.710791542
CX3CL1,0.61109984
SDC1,0.580726957
SDC4,0.330438103
SDCBP,0.745655008
SDF2,0.105973145
SDHA,0.673494385
SDHB,0.254697677
SDHC,0.227174354
SDHD,0.898652235
SEC13,0.392678663
SEC14L1,0.473983091
TRAPPC2,0.167221872
SEL1L,0.366163393
SELL,0.13834994
SELPLG,0.66534293
SELENOP,0.237727696
SELENOW,0.500973028
MAP2K4,0.332983372
SET,0.861864771
SETMAR,0.853029807
SFPQ,0.538861766
SRSF1,0.452741464
SRSF2,0.031386489
SRSF3,0.883344552
SRSF4,0.4450538
SRSF5,0.091219128
SRSF6,0.961361745
SRSF7,0.863167655
SFSWAP,0.437718317
TRA2B,0.509493395
SGCB,0.940801334
SGK1,0.389632331
SGSH,0.729885153
SGTA,0.086815449
SH3BGR,0.201329505
SH3BGRL,0.668316082
SH3BP2,0.284880446
ITSN1,0.548845562
SH3GL1,0.815519323
SHB,0.882573815
SHC1,0.991939131
FBXW4,0.678940757
SHMT1,0.382087311
SHMT2,0.116468336
SHOX2,0.626376581
SIAH1,0.181453453
SIAH2,0.29569687
ST6GAL1,0.893738933
ST3GAL1,0.590803279
ST3GAL2,0.733401313
ST3GAL4,0.591588772
ST3GAL3,0.030213105
PMEL,0.687773044
STIL,0.948884611
SIPA1,0.044271221
SKI,0.165535912
SKIL,0.995275899
SKIV2L,0.184478518
SKP1,0.103005123
SKP2,0.652959962
SLAMF1,0.581332277
SLC1A1,0.431899344
SLC1A4,0.207162508
SLC1A5,0.306994705
SLC2A1,0.039341743
SLC2A3,0.533810232
SLC2A5,0.130665977
SLC3A2,0.183512949
SLC4A2,0.065240591
SMTN,0.12418156
SLC5A3,0.79633114
SLC6A4,0.605299223
SLC6A6,0.149095044
SLC6A9,0.86308817
SLC7A1,0.597803566
SLC7A2,0.693174376
SLC8A3,0.934105805
SLC9A1,0.573852517
SLC9A2,0.516855019
SLC9A3,0.468885072
SLC9A5,0.065217615
SLC12A2,0.384320226
SLC12A4,0.953393508
SLC15A2,0.752244829
SLC16A1,0.226641035
SLC19A1,0.122151853
SLC20A1,0.892814091
SLC20A2,0.558934412
SLC25A1,0.473577686
SLC22A5,0.363613677
SLIT1,0.499490447
SMARCA1,0.093554341
SMARCA2,0.66953923
HLTF,0.836538652
SMARCA4,0.014584772
SMARCB1,0.580691693
SMARCC1,0.136421875
SMARCC2,0.312435401
SMARCD1,0.242898196
SMARCD2,0.091140215
SMARCE1,0.014528707
SMN1,0.728759685
SMN2,0.729861753
SMO,0.896936339
SMPD1,0.995749789
SMPD2,0.050133708
SMS,0.913324036
SUMO3,0.998483447
SUMO2,0.423316657
SNAPC1,0.421241276
SNAPC2,0.323899709
SNAPC3,0.028525446
SNAPC4,0.105166009
FSCN1,0.32256364
SNRNP70,0.033189208
SNRPA,0.312716301
SNRPA1,0.833572633
SNRPB,0.666641722
SNRPB2,0.598011069
SNRPC,0.767695656
SNRPD1,0.311700544
SNRPD2,0.892321622
SNRPD3,0.911550796
SNRPE,0.460179295
SNRPF,0.827630742
SNRPG,0.679719819
SNRPN,0.570117285
SNTA1,0.429018181
SNTB1,0.300430706
SNX1,0.24428468
SNX2,0.227953076
SNTB2,0.916190731
SOAT1,0.397866509
SOD1,0.36501468
SOD2,0.280758251
CAPN15,0.377893546
SON,0.875452253
SORD,0.429171149
SORL1,0.43032906
SOS1,0.299626357
SOS2,0.017387699
SOX4,0.534497539
SOX5,0.737485255
SOX9,0.485960766
SOX12,0.236049325
SP1,0.555502439
SP2,0.801934757
SP3,0.881852254
SP4,0.762061017
SP100,0.217888466
SPAG1,0.387364417
UAP1,0.708273687
SPAG4,0.3055454
SPARC,0.648282105
SPAST,0.699151073
SPG7,0.905207999
SPI1,0.060695413
SPIB,0.965891762
SPINT1,0.09893289
SPN,0.483288658
SPR,0.534952245
SPTAN1,0.836611372
SPTBN1,0.899503151
SPTBN2,0.870451376
SQLE,0.431279516
SRC,0.765591717
SRD5A1,0.184513596
SRI,0.510348725
SREBF1,0.342611639
SREBF2,0.577565914
SRF,0.589490792
SRM,0.742932361
SRP9,0.218238009
SRP14,0.073872645
SRP19,0.307531376
SRP54,0.095232371
SRP68,0.437218098
SRP72,0.295464541
SRPK1,0.201293376
SRPK2,0.997896543
SRPRA,0.996874686
TRIM21,0.853723637
RO60,0.588335306
SSB,0.0486267
SSBP1,0.825124678
ITPRID2,0.641419298
SSR1,0.634772994
SSR2,0.793867633
SSR3,0.116365482
SSR4,0.716052932
SSRP1,0.94287076
SSTR2,0.643226521
SSTR3,0.20261172
SS18,0.202068822
DENND2B,0.830531909
ST13,0.20898638
ST14,0.544321833
STAR,0.093481822
STAT1,0.921997793
STAT2,0.730615036
STAT3,0.681507444
STAT4,0.050812948
STAT5A,0.988750134
STAT5B,0.957572926
STAT6,0.514780129
STAU1,0.202991851
HSPA13,0.69539762
STIM1,0.979557189
NEK4,0.893955607
STK3,0.706079221
STK4,0.975147302
AURKA,0.451624268
AURKAP1,0.567951293
CDKL5,0.867516382
STK10,0.726575558
STK11,0.075394639
STRN,0.885695021
STX1A,0.175125645
STX3,0.446429412
STX4,0.178173633
STX5,0.429043274
STXBP2,0.290954046
STXBP3,0.832209269
STYX,0.092256921
SULT1A1,0.249793119
SUOX,0.920689403
SUPT4H1,0.574387006
SUPT5H,0.022816861
SUPT6H,0.992252991
SUPV3L1,0.852212988
SURF1,0.771072691
SURF2,0.395098002
SURF4,0.642393203
MED22,0.296119997
SURF6,0.952390745
SUV39H1,0.154059304
SVIL,0.641705972
VAMP1,0.59043411
VAMP2,0.679780108
VAMP7,0.333318434
SYK,0.505931048
SYP,0.356551427
SYPL1,0.97778137
TBXT,0.454757788
TACC1,0.462483339
ADAM17,0.893756309
TACR1,0.367658977
TADA2A,0.490670052
TAF1,0.125904331
TAF2,0.772832298
TAF4,0.168729592
TAF4B,0.136107024
TAGLN,0.671877118
TAF5,0.835750776
TAF6,0.593675953
TAF7,0.733322845
TAF9,0.940585655
TAF10,0.859303281
TAF11,0.909569242
TAF12,0.565723867
TAF13,0.364355997
MAP3K7,0.542950005
TALDO1,0.861639164
TAP1,0.919791783
TAP2,0.695235054
TAPBP,0.862729534
TARBP1,0.943039326
TARBP2,0.06582245
TARS1,0.640761707
TAZ,0.106436678
TBCA,0.934862077
TBCC,0.022781476
TBCD,0.047237343
TBCE,0.1419888
TBL1X,0.293390916
TBP,0.608003429
TBX15,0.508050223
TBXAS1,0.6802826
TCEA1,0.269352941
TCEA2,0.473814235
ELOC,0.116435594
SKP1P1,0.874141601
ELOB,0.877116057
ELOA,0.336294438
TCF4,0.918027684
HNF1B,0.602870704
TCF3,0.179927811
TCF7,0.477385769
ZEB1,0.308735422
GCFC2,0.898405038
TCF12,0.376901254
ZNF354A,0.276523856
TCF19,0.563118591
TCF20,0.843906247
VPS72,0.448039151
MLX,0.33357028
TCN2,0.779285697
TCOF1,0.310519436
TCP1,0.991189624
TCTA,0.223571456
DYNLT3,0.828604243
TCTE3,0.384078577
PPP1R11,0.952226495
DYNLT1,0.282685824
TDG,0.032547963
PRDX2,0.605994674
TEAD1,0.100403663
TEAD4,0.763254573
TEC,0.249566723
TEF,0.476441504
TMBIM6,0.738269779
TEP1,0.659447512
TERC,0.771318614
TERF1,0.890840866
TERF2,0.890259924
TERT,0.548411643
TESK1,0.279854727
TFAM,0.747056989
TFAP4,0.539651305
TFCP2,0.014665514
NR2F2,0.959111249
TFDP1,0.718257593
TFDP2,0.792769812
TFE3,0.6692219
TFR2,0.197655955
TFRC,0.631446732
TGFB1,0.948643686
TGFB1I1,0.078483058
TGFB3,0.466752398
TGFBI,0.495555404
TGFBR1,0.918504617
TGFBR2,0.879379728
TGFBR3,0.777622308
TGIF1,0.331451941
TGM1,0.097034185
TGM2,0.332271202
THBS3,0.502157226
THOP1,0.520352527
THRA,0.855829788
THY1,0.508040442
KLF10,0.466548193
TIA1,0.347495012
TIAL1,0.288330976
TIAM1,0.218721318
TIE1,0.912826039
TIMP1,0.641377976
TK1,0.710851409
TK2,0.896344457
TKT,0.885805265
ICAM5,0.197903148
TLE3,0.235664917
TLE4,0.079715205
TLL2,0.308584251
TLN1,0.76287236
SEC62,0.179842843
TLR1,0.858041143
TLR2,0.821916238
TLR4,0.813228193
TSPAN4,0.567175726
GPR137B,0.213792813
TM7SF2,0.140160249
TRAPPC10,0.290749858
TMF1,0.197789271
TMOD1,0.696496672
TMPO,0.042213436
TMSB4X,0.91528523
TMSB4XP1,0.705862902
TMSB4XP8,0.251812258
TMSB4XP4,0.7078255
TMSB4XP6,0.105361836
TNF,0.516754159
TNFAIP1,0.142453202
TNFAIP2,0.447995613
TNFAIP3,0.99569466
TNFAIP6,0.191961012
TNFRSF1A,0.607416016
TNFRSF1B,0.296261032
TNXB,0.669727927
TOP1,0.656052443
TOP1P1,0.860600546
TOP2A,0.177257776
TRA-TGC7-1,0.452687908
TOP2B,0.147104445
TOP3A,0.635676112
TP53,0.273753713
TP53BP1,0.031419283
TP53BP2,0.203916527
TP73,0.339429979
TPBG,0.762763695
TPD52,0.034456477
TPD52L2,0.485512672
TPH1,0.641636133
TPI1,0.482833374
TPM1,0.060557781
TPM2,0.780828189
TPM3,0.635543388
TPM4,0.749854754
TPMT,0.925299202
TPP2,0.451427907
TPR,0.054874417
TPT1,0.321207324
NR2C1,0.392617436
NR2C2,0.221387614
HSP90B1,0.580554614
TRAF1,0.661752207
TRAF2,0.053007179
TRAF3,0.238392114
TRAF5,0.42292238
TRAF6,0.584709102
HSP90B2P,0.569084609
CCT3,0.922661404
TRIO,0.561645434
TRIP6,0.579966221
TRO,0.944602172
TRP-AGG2-6,0.183193107
TRPC1,0.035800422
TRPM2,0.134906803
TRPS1,0.301051174
TSN,0.788909104
TSC1,0.254756962
TSC2,0.542074269
TSG101,0.090918278
TSNAX,0.564587954
TSPYL1,0.855415499
EIPR1,0.459800046
TST,0.349175478
TSTA3,0.019764901
TTC1,0.099570302
DNAJC7,0.385056326
TTC3,0.267728655
TTC4,0.706261913
TTF1,0.626253465
TTK,0.666828358
TTN,0.863707635
TUBA4A,0.948657557
TUBB2A,0.233732103
TUBG1,0.555380474
TUFM,0.264139932
TUFT1,0.599190046
TULP3,0.81318882
HIRA,0.011975158
TNFSF4,0.133090684
TNFRSF4,0.262392569
TXK,0.269560536
TXN,0.892426805
TXNRD1,0.76823307
TYK2,0.490720581
TYMS,0.515915794
U2AF1,0.209982716
UBA52,0.845159512
UBB,0.62198461
UBC,0.916837854
UBA1,0.351601653
UBA7,0.52068173
UBE2A,0.13241818
UBE2B,0.224906925
UBE2D1,0.049084956
UBE2D2,0.1038909
UBE2D3,0.068596681
UBE2E1,0.426160207
UBE2E2,0.769473544
UBE2G1,0.173509723
UBE2G2,0.19259333
UBE2H,0.580430291
UBE2I,0.947871657
UBE2L3,0.181685505
UBE2N,0.734658673
UBE2V1,0.6321811
UBE2V2,0.874633644
UBE3A,0.95586494
SUMO1,0.692605429
UBP1,0.075327192
UBTF,0.822691621
UCHL1,0.904885561
UCHL3,0.247279935
UCP2,0.50905253
UCP3,0.276629598
UFD1,0.960339205
SLC35A2,0.333001877
UGCG,0.444556077
UGDH,0.592832757
UGP2,0.093738143
UGT2B15,0.744267472
UGT2B17,0.732484107
UGT8,0.894530471
UCK2,0.385490605
UMPS,0.212845882
UNG,0.538077421
USP4,0.519901548
NR1H2,0.265406079
UPP1,0.343807057
UQCRB,0.304144184
UQCRC1,0.699156763
UQCRC2,0.135359085
UQCRFS1,0.640943731
UQCRH,0.484833054
UROD,0.537367454
UROS,0.77269334
USF1,0.039834463
USF2,0.058636484
USP1,0.721039545
UTRN,0.220856717
KDM6A,0.836513764
UTY,0.922489661
UVRAG,0.639883845
VARS1,0.325073278
VASP,0.558579167
VAV1,0.053732633
VAV2,0.485884944
VBP1,0.813244427
VCAM1,0.248207858
VCL,0.663749969
VCP,0.977371401
VDAC1,0.920250702
VDAC2,0.688050346
VDAC3,0.038789473
VDR,0.73776714
VEGFA,0.130568806
VEGFB,0.356118692
VHL,0.013932614
VIL1,0.805666822
EZR,0.356450008
VIM,0.60687506
VLDLR,0.345104662
BEST1,0.725004668
TRPV1,0.677666783
VRK1,0.30596667
VRK2,0.736586217
WARS1,0.992661354
WAS,0.489491371
WIPF1,0.552772115
EIF4H,0.397120535
CLIP2,0.282514398
LAT2,0.976763186
CORO2A,0.828340106
WEE1,0.97650251
WFS1,0.886327933
NSD2,0.459500476
NELFA,0.582289598
WNT5A,0.312758912
WNT7B,0.924842287
WNT11,0.584053477
GET1,0.46736436
WRN,0.151462368
XBP1,0.993619271
XIST,0.992886255
XPA,0.298802234
XPC,0.095523719
XPNPEP1,0.815990366
XPO1,0.939281113
XRCC1,0.830452057
XRCC2,0.8589456
XRCC3,0.096820782
XRCC4,0.926925558
XRCC5,0.998524737
YES1,0.928456537
YES1P1,0.155454257
YY1,0.023655008
YWHAB,0.595450012
YWHAE,0.206487718
YWHAG,0.113837789
YWHAH,0.629505783
YWHAZ,0.762354885
ZAP70,0.550649202
SF1,0.94721206
ZFP36,0.53643273
ZFP37,0.963614194
ZBTB14,0.327519383
ZFPL1,0.885007944
ZFX,0.580395962
ZFY,0.859066701
ZNF2,0.956030474
ZNF3,0.497506036
ZNF711,0.159579673
ZNF7,0.317407103
ZNF8,0.544435646
CNBP,0.836092696
ZNF10,0.745521802
ZNF12,0.49848165
ZNF14,0.338763344
ZNF708,0.758287334
ZNF16,0.555612354
ZNF17,0.581939294
ZNF18,0.790902466
ZNF19,0.922587736
ZNF20,0.242066655
ZNF182,0.491699073
ZNF22,0.268879142
ZNF23,0.803488926
ZNF24,0.735983416
ZNF26,0.112291136
ZNF28,0.436982463
ZSCAN20,0.098318653
ZNF32,0.87356679
ZNF33A,0.904208136
ZNF33B,0.359751574
ZNF35,0.671408688
ZKSCAN1,0.390674981
ZNF37A,0.986901232
ZSCAN21,0.311198869
ZNF41,0.440413387
MZF1,0.024072577
ZNF43,0.54010785
ZNF45,0.991231055
ZBTB25,0.764212687
ZNF56,0.814313392
ZNF66,0.34932664
ZNF69,0.352473946
ZNF70,0.806809322
ZNF74,0.042627978
ZNF75D,0.496140518
ZNF75A,0.145245287
ZNF76,0.092808243
ZNF79,0.501126519
ZNF84,0.035546387
ZNF221,0.226107157
ZNF85,0.781375913
ZNF90,0.704376004
ZNF91,0.616856866
ZNF222,0.820264616
ZNF121,0.734076504
ZNF124,0.841059852
MKRN3,0.484708861
ZNF131,0.166658424
ZNF132,0.371121432
ZNF133,0.008537985
ZNF134,0.90453469
ZNF136,0.915756712
ZNF137P,0.93442645
ZNF138,0.020358793
ZNF140,0.026482916
ZNF141,0.48733598
ZNF142,0.354916806
ZNF143,0.729948116
PCGF2,0.527820126
ZNF146,0.526816819
TRIM25,0.704834774
ZNF148,0.421886651
ZBTB17,0.110121241
ZNF154,0.021411886
ZNF155,0.991216857
VEZF1,0.269602243
ZNF165,0.860454798
TRIM26,0.555417727
ZNF174,0.431268104
ZNF175,0.690705798
ZNF180,0.584815203
RNF113A,0.792544767
ZNF184,0.496511209
ZNF185,0.240558869
ZSCAN26,0.003594087
ZNF189,0.698779331
ZKSCAN8,0.027680142
ZSCAN9,0.126062722
ZNF195,0.630012334
ZMYM2,0.49874308
ZNF200,0.717388609
ZNF202,0.788502315
ZNF205,0.301740312
ZNF207,0.062679086
ZNF208,0.774186929
ZNF213,0.481841733
ZNF214,0.085148477
ZNF215,0.981346704
ZFAND5,0.414557109
ZNF217,0.657438448
ZNF223,0.279051774
ZNF224,0.669159669
ZNF225,0.059683539
ZNF226,0.078630512
ZNF227,0.296834976
ZNF112,0.947433642
ZNF229,0.204298806
ZNF230,0.7808915
ZNF232,0.974722909
ZNF236,0.614119958
SLC30A1,0.714534888
SLC30A4,0.900716987
ZP3,0.114109977
MAP3K12,0.062287236
ZXDA,0.600206677
ZYX,0.325573716
LUZP1,0.614269451
PRDM2,0.482831031
PTP4A1,0.819560531
LRP8,0.359344566
LAPTM5,0.855894895
CSDE1,0.130912774
EVI5,0.195370993
DAP3,0.364716136
BTG2,0.94684416
PXDN,0.845520259
ALMS1,0.478641088
MOGS,0.795796658
RNF103,0.935291677
TUBA1A,0.441273284
PAX8,0.662522821
IL1R2,0.278822885
CXCR4,0.718549481
FZD5,0.911229514
BRPF1,0.007532198
IFRD2,0.563488413
MAPKAPK3,0.090499024
SLMAP,0.891680856
MANF,0.857059661
USP7,0.859891201
RAB7A,0.494544448
SLBP,0.16008409
ST8SIA4,0.476030411
REEP5,0.121860168
DEK,0.844437379
ALDH5A1,0.671975193
PRRC2A,0.863642043
BAG6,0.082762624
GPANK1,0.625006711
DDX39B,0.941718012
ABHD16A,0.654487719
SLC39A7,0.991355949
HSD17B8,0.188059497
NELFE,0.955147461
LST1,0.38946922
TFEB,0.96660228
EPM2A,0.806435607
AIMP2,0.398340711
MAFK,0.056829099
FZD3,0.657804045
MTERF1,0.730805676
SEM1,0.035217239
TFPI2,0.791404035
ST7,0.958143835
ARHGEF5,0.34850271
ZNF212,0.904375921
UBXN8,0.50965737
KAT6A,0.327312917
NR4A3,0.865791559
BRD3,0.943172121
NUP214,0.381537337
STAM,0.633413878
MLLT10,0.312616958
CCDC6,0.975840346
NCOA4,0.136250495
SLC25A16,0.888747371
SHOC2,0.842516733
RASSF7,0.202724127
PDHX,0.785576238
FOSL1,0.09011349
CUL5,0.081222254
PTP4A2,0.696697927
USP5,0.579538224
MLF2,0.122863892
SSPN,0.64977706
KMT2D,0.943310167
AAAS,0.829155946
FXR1,0.040400188
YEATS4,0.374412185
HMGA2,0.813558523
CDK2AP1,0.438098623
IFT88,0.994899224
PABPN1,0.026988084
DPF3,0.876441721
GPR68,0.833300915
TCL1A,0.864258741
PWAR5,0.312213967
ANP32A,0.186570043
NPRL3,0.785353087
GAN,0.957772143
SLC7A5,0.056029336
TAF15,0.407940855
COIL,0.569809317
AKAP1,0.329468562
SF3A2,0.137503768
ELL,0.163637811
ZNF239,0.801480113
SYMPK,0.176607811
CLPP,0.001837998
DPF1,0.568136635
MKKS,0.160354112
NCOA3,0.644909349
NRIP1,0.304146217
CHAF1B,0.7144273
GATD3A,0.347136442
DGCR6,0.72622086
LZTR1,0.242500259
ESS2,0.062509545
GTPBP6,0.191397043
PUDP,0.712323266
AKAP17A,0.305356884
PNPLA4,0.886601078
ZRSR2,0.372612729
USP11,0.725613277
USP9X,0.691173946
RBM10,0.188423405
KDM5C,0.561561316
SMC1A,0.826935217
NAA10,0.785689451
F8A1,0.317337489
UBL4A,0.111149566
TMEM187,0.841170821
LAGE3,0.812422848
SLC10A3,0.967547576
KDM5D,0.943395021
USP9Y,0.937572475
ARID1A,0.698024528
COLQ,0.338727231
SERF1A,0.599644015
H4C9,0.916987852
TRRAP,0.827125504
PICALM,0.67235787
SNN,0.80955392
ACOX3,0.54234994
AXIN1,0.302504708
AXIN2,0.87155224
BAP1,0.011996332
BRAP,0.039892948
CDC7,0.986115868
CDC45,0.329952079
EOMES,0.945035877
FZD1,0.905275539
FZD6,0.490801966
FZD7,0.660045413
FZD8,0.705768111
GABPAP,0.962528375
H2AC13,0.579863112
H2AC15,0.992759227
H2AC14,0.426149449
H2AC16,0.766492537
H2AC6,0.519404089
H2AC4,0.790401115
H2AC17,0.47740212
H2AC18,0.398629184
H2AC20,0.44134045
H2BC8,0.333599755
H2BC13,0.439086865
H2BC15,0.362347592
H2BC14,0.227193786
H2BC7,0.644645222
H2BC6,0.386930313
H2BC9,0.302865851
H2BC10,0.408038352
H2BC4,0.288078424
H2BC17,0.304545573
H2BC21,0.375957917
H3C1,0.392498424
H3C4,0.275633414
H3C3,0.156229368
H3C6,0.271113199
H3C11,0.395981448
H3C8,0.496562431
H3C12,0.904521892
H3C10,0.312787246
H3C2,0.454402273
H4C1,0.931378729
H4C4,0.61057113
H4C6,0.747695106
H4C12,0.898429673
H4C11,0.958146922
H4C3,0.952659627
H4C8,0.247101361
H4C2,0.772072679
H4C5,0.938948708
H4C13,0.968705669
H4C14,0.166175482
HYAL3,0.323704625
MAD1L1,0.234989979
PIP5K1A,0.969097113
PIP5K1B,0.720504199
PIP4K2B,0.91178976
PLA2G6,0.094071029
SLC25A11,0.60321799
SPOP,0.446990126
TAGLN2,0.503933131
ULK1,0.733640367
UXT,0.262516794
EEA1,0.124317619
BCAR3,0.881954964
STX7,0.817568267
CMAHP,0.060970336
BFSP2,0.183715869
SNHG3,0.042554318
LTBP4,0.665721969
ZNF282,0.00527028
STK24,0.132116362
RECK,0.364127762
RAD54L,0.832605239
NSMAF,0.385290709
NCK2,0.694781189
GNPAT,0.269481652
DYRK3,0.673671405
DYRK2,0.811826974
DUSP11,0.616649457
DHX16,0.728719654
CUL4B,0.516101676
CUL4A,0.306387527
CUL3,0.333219027
CUL2,0.502608011
CUL1,0.982602451
ATRN,0.967380363
TTF2,0.182037141
TPST2,0.771792433
TPST1,0.438644861
KLF11,0.352357172
SUPT3H,0.593272337
SMARCA5,0.050884237
SORBS2,0.055795081
OGT,0.412908883
CDC42BPA,0.547600342
GPR65,0.931241711
HIRIP3,0.244780014
RAE1,0.202602852
OFD1,0.441609484
SEMA7A,0.868831057
GEMIN2,0.860234336
RGS5,0.220090178
MAP4K3,0.061370321
PPM1D,0.870925397
PPFIBP2,0.729157172
PPFIBP1,0.150691855
PPFIA4,0.163482209
RANBP3,0.126644841
PPFIA1,0.444199104
SLC43A1,0.299715258
PKP4,0.205450922
PIK3R3,0.610866479
PEX3,0.749077808
CNTNAP1,0.86555399
ENC1,0.284837856
NIPSNAP1,0.869087823
NDST2,0.750712444
KCNAB2,0.462732995
ITGA10,0.622487836
IKBKG,0.890197764
ELP1,0.646335938
IFITM1,0.424164325
HAT1,0.413222129
GAS7,0.941814077
DGKZ,0.641186337
DGKE,0.06465516
DGKD,0.243062273
YBX3,0.257135506
COPS3,0.387265838
CBX4,0.002803633
CAMK1,0.266629401
BCAS1,0.94787935
API5,0.071426407
AGPS,0.214001484
PPFIA3,0.592347953
APOL1,0.389707521
LMO4,0.906069253
PIR,0.78399177
CGGBP1,0.324845697
AP3B1,0.623785033
BLZF1,0.638726114
MAPKAPK5,0.39787299
INE1,0.575048411
BHLHE40,0.996946417
PIAS1,0.299978361
CDC14B,0.979411377
CDC14A,0.401697757
CDK10,0.547904386
PRPF18,0.578689728
DEGS1,0.901074787
DENR,0.619278356
THOC5,0.082596606
KMO,0.455664046
YARS1,0.48479248
PDXK,0.290616736
MADD,0.63419788
RRP1,0.137728541
MKNK1,0.916799992
KHSRP,0.882780929
PDLIM4,0.766639583
CASK,0.307073313
AKR7A2,0.996200319
PRKRA,0.607514212
STK16,0.391915153
SCARF1,0.822013517
TNFSF11,0.660974149
RGS20,0.225703114
NOP14,0.823051684
FAM193A,0.581155183
SLC25A12,0.671335709
PLA2G4C,0.537949895
RUVBL1,0.766275359
KLF7,0.491774234
PLPP1,0.90928187
PLPP3,0.209436719
STC2,0.596184642
USO1,0.04195208
CDK13,0.094519959
ASMTL,0.744060511
PSMG1,0.64427775
RFXANK,0.683744907
TP63,0.583354557
JRK,0.989456515
HSD17B6,0.079937728
SKAP1,0.660631489
DNAH17,0.750558841
RTCA,0.778484841
RNASET2,0.535050413
SSNA1,0.278829028
OASL,0.951589069
PCDHGB4,0.744966068
DCHS1,0.86725733
PTCH2,0.652387039
KCNK5,0.408660594
NCOA1,0.770292104
