Short Gene name,p_value
PPP2R2A,0.349349807
RTCB,0.053291595
UNG,0.813343482
ESD,0.460179872
TNFAIP8L1,0.694185484
SMAD1,0.839962936
THOC6,0.872562237
UNC79,0.390063792
SYAP1,0.785290213
PHLDB2,0.191132081
C4orf3,0.287971328
ANKMY2,0.071944618
PRIM2,0.967074326
COPS2,0.201373719
YIPF2,0.233745061
ZFYVE1,0.911653346
MCM3,0.37245165
PIGB,1
PAIP2,0.79350224
PDAP1,0.699582865
HIP1R,0.119784182
ATAD3A,0.980835717
APC,0.797042429
PRH1,0.367398397
MTHFD2L,0.67239079
KLC4,0.438458277
LARS,0.937246724
SUN2,0.631114256
SNF8,0.674523416
UPF1,1
PDE6D,0.044560281
SEMA3A,0.159191968
MCFD2,0.883412074
DIS3L2,0.031950798
MRPS21,0.749738143
RPS8,0.010819263
BAZ1B,1
RAB8A,1
ZNF589,0.064635038
GSK3A,0.794937706
TPGS2,0.038315629
CNOT1,0.40318392
RALGAPB,0.657244494
PLEKHM2,0.478948915
VRK2,0.631861861
ATP1B2,0.365071391
KIAA0319L,0.318693763
PKNOX1,0.213767844
NOTCH2,0.931506102
DFNA5,0.525341688
NCL,0.694791287
ANKRD50,0.902723936
LIMS1,0.401707636
SH3BGRL2,0.999866886
HMBS,0.925239274
GPR162,0.704034832
HSF1,0.501436216
HSPA14,1
ZNF765,0.754291575
DUT,0.733737536
PSME4,0.539992205
RNF122,0.491291703
POLR3K,0.196828175
KIAA1107,0.632799806
6-Mar,0.522447848
ZC3HAV1L,0.632245865
DUSP16,0.841912744
BPNT1,0.07981886
CDCA4,5.70E-15
FTSJ3,0.574721219
ADD3,0.625186097
TMA7,0.966320238
HIC2,0.312697211
ACOT9,0.743864612
SEC23B,0.977955697
PKP4,0.513453544
SERAC1,0.92607633
HECTD2,0.733475361
SLC16A14,0.483592027
SCARNA2,0.880776533
KIF5B,0.119189623
DNAJC24,0.276918595
TIA1,0.824942832
PLXDC2,0.373291905
MST1,0.521109484
FAM228B,0.92404415
PCNA,0.749907732
CTXN1,0.752397986
SLC35D1,0.045749756
CPT1C,0.422709883
ARHGAP33,0.276112532
LOC100289561,0.668984946
TBL1X,0.076986038
WNT10B,0.828239953
ATP7A,0.920416168
WHSC1,0.303971813
ZCCHC9,0.114633168
NUDT10,0.417927921
RCN3,0.53580926
RHNO1,0.629785722
WSCD1,0.629502286
C11orf58,0.510409306
EPHA3,0.585416203
OSBPL8,0.703486585
CARS,0.594459547
TOMM5,0.000111266
TOMM22,0.429909566
TDP1,0.228165558
TM9SF2,0.615857017
SMARCB1,0.415072161
SNORD116-19,0.300584292
MRPL14,0.369481046
WDR75,0.797824034
TRIB2,0.954518559
PNMA6A,0.000239924
LRRC10B,0.759873122
ELMO2,0.605188588
SLC39A9,0.572594019
ARHGDIA,0.810062367
ZNF687,0.798020669
HIST1H4J,0.485897526
IFI27L2,0.677690362
RPRM,0.021856653
SGK1,0.930204245
PDDC1,0.981393844
KCTD3,0.67969091
KIAA0368,0.881534555
CD74,0.743232153
LINC00087,0.798958875
NGDN,0.89090817
ZNF564,0.917652447
TMEM151A,0.761724218
PSMD11,1
THOC7,0.378925591
UMPS,0.718934009
EPB41,0.81565565
ZNF692,0.832092088
POLE3,0.44617101
RRAGD,0.012820028
COL5A3,0.684657897
LOC440173,0.290928557
BCAS2,0.170543245
SGSM2,0.406168203
GCAT,0.97910731
TIPRL,0.877053994
CCS,0.669407812
CTNNBIP1,0.518972743
CCAR1,0.002481346
PSMA2,0.628848899
IMPDH1,0.404890198
ZDHHC2,0.01215896
USP13,0.795139332
MLLT4,0.875495731
VPS39,0.549118313
GNG7,0.221978211
LCAT,0.572340356
FNBP4,0.581777722
WRNIP1,0.86617599
C14orf169,0.823856095
ISCA1,0.373021403
SGMS1,0.327946528
CWC25,0.725423013
ZNF428,0.149406552
RAB30-AS1,5.64E-06
RPL27A,0.041978309
TROAP,0.544560697
GCC1,0.874637409
SNORA63,0.651255693
SAAL1,0.590123454
APOL2,0.98486112
DEAF1,0.351857943
TMEM181,0.997511112
CDC34,0.890243401
PPAP2A,0.066418456
ACTR8,0.924820947
SRSF1,0.396135711
ACAA2,0.408650465
USP12,0.188208091
RQCD1,0.759873122
FARSB,0.795728916
IER2,0.808584127
SYMPK,0.790854923
THAP11,0.702401378
PRPF31,0.287351279
EIF2B1,0.934722967
ZNF444,0.930914995
EIF2B2,0.821910578
DCHS1,0.950945222
VHL,0.143904704
LGI4,1.71E-08
GUSBP3,0.357822168
STAT3,0.991692911
RB1,0.837403082
GTF2B,0.111599287
TMEM38A,0.712620606
ZSWIM4,0.587725786
CSNK1G1,0.234463145
ALG11,0.125347158
POGK,0.988984059
GABARAPL1,0.61919016
RUSC2,0.943739522
PTOV1,0.814209637
BTBD1,0.730004211
GSTM3,0.312047305
TMCC2,0.977955697
DOK6,0.162490414
ZFAND2A,0.413979132
DLL1,0.833386106
NDUFB3,0.781883449
USPL1,0.308142587
MVB12A,0.583076031
PPAPDC1B,1
PHYHIPL,0.964182162
SNUPN,0.554170165
DNAJC1,0.00053857
RAB5A,0.163225442
USP20,0.971480778
ZC3H8,0.664031313
SORCS2,1
TAOK2,1
KLF3,0.537265131
NR1H3,0.797793942
DUSP12,0.583784476
TMEM66,0.443809269
NUP214,0.824899072
FAM220A,0.488082656
XRCC6BP1,0.679871624
UTRN,0.477870428
POLR3H,0.687624787
SLC43A2,0.327390817
TWIST2,0.707038511
CC2D1A,0.417344482
WBSCR27,0.493647596
COX16,1.66E-08
RAE1,0.020576473
SLC15A4,0.408113193
SHANK3,0.499934243
KBTBD6,0.968512185
SNORD10,0.117738491
SIK2,1
DONSON,0.059694703
CEP63,0.760612424
HIST1H4K,0.788417309
AMOT,0.55538418
VPS72,0.958324749
BDP1,0.688909581
GREB1L,0.20467707
HIST2H2BC,0.439283722
SLC25A42,0.233771583
SHPK,0.883480811
RASA2,0.849583673
PSMD9,0.462116415
SEPN1,0.577979907
ABHD5,0.610456676
SLC25A17,0.805290117
NDEL1,0.83093394
GTF2F1,0.001252068
TAB3,0.655088144
ZBTB44,0.609079025
EIF3J,0.781883449
PRELID2,0.368832113
RPL37,0.718145415
HACL1,0.048758279
STK11IP,0.052494361
ZBED5-AS1,0.272157713
KCNH2,0.963939141
AGK,0.145976579
TSPAN11,0.101622638
MRPL13,0.48850441
DDI2,0.949706252
FBL,0.453777079
TMEM97,0.354848962
MAD2L1,0.020991544
NF1,0.812262122
TXLNG,0.770354255
ZNF526,0.497114275
FOXO3B,0.655117701
CLN6,0.686150827
ACOT1,0.75931308
PPM1A,0.160671827
ARVCF,0.002691012
CNTLN,0.972361722
DNAJC13,0.591935866
RNU1-13P,0.489675876
MTA3,0.926347218
GLT8D1,0.600582419
DOCK3,0.119584131
LIN7C,0.456587929
WDR91,0.522936863
NSRP1,0.404077255
CDC26,0.751377181
ADIPOR2,0.911205045
ARMCX6,0.009747833
PPP4R1,0.502781949
STXBP1,0.643069106
TMEM165,0.158461929
SCP2,0.257208702
PMPCB,0.862531798
TCEB3,0.781713247
COPS7B,0.963125144
ZNF316,0.541382657
PSMD13,0.316188529
PDXDC2P,0.777989943
LEPREL2,0.773713228
TULP4,0.941497924
NOP2,0.216521622
TMEM206,0.148729657
SLC3A1,0.792599662
SNPH,0.263124795
ELP6,0.308137201
ZNF883,0.351374176
CRTAP,0.047626188
PCGF1,0.81365142
UNC5C,0.650414562
TTLL7,1
PPIL4,0.944882112
PSMD12,0.066042809
NDUFA6-AS1,0.449601733
FTSJ2,0.341973574
PAQR4,0.736240928
WASF2,0.173510147
LYPD1,0.702401378
ZNRF2,0.045657805
ACAD9,0.67645963
CYFIP2,0.337785911
MRPL23,0.750630041
COMMD8,0.855475989
IGSF8,0.20662228
EIF5,0.631230508
MAST3,0.779498171
SOX12,0.081594184
MEF2BNB,0.905444269
MTMR12,1
CYR61,0.525908036
LOC220729,0.777549493
LINC01481,0.104873594
DDX50,0.978791361
PGGT1B,0.478664607
FMN2,0.49376738
RETSAT,0.238285865
DARS,0.072673174
RAB33A,0.020067495
RPS11,0.000352207
GTF2IRD2,0.427954275
ZFHX3,1
EXOSC7,0.009742029
ZNF134,0.094212948
NHLH1,0.672558278
TENM4,0.005498052
GSTO1,0.930002818
SRRM2,0.809150862
FGD1,0.122647339
NMT1,0.667368015
DCUN1D3,1.45E-103
ATG14,0.090451642
WHAMMP1,0.163532996
ELP5,0.290400084
SLC27A4,0.185931469
TIFA,0.321887184
RCOR3,0.503693789
GOLGA2P7,0.236420957
HEXIM1,0.804388859
ELOVL1,0.77855738
TMEM185B,0.674295188
SPATA7,0.266037416
MEIS2,0.51001785
PCID2,0.022978784
C10orf118,0.849640947
TVP23C-CDRT4,0.332643273
GRK6,0.816861814
SNRNP200,1
CARHSP1,0.011448551
ASPH,0.688949366
TXLNA,0.700664588
NOP10,0.357816574
RARS2,0.177612552
CHMP4B,0.626837151
HSD17B1,0.40187674
CEP19,0.005995652
PKN2,0.695884259
NDUFV2,1.03E-10
MEX3C,0.700358806
AGO4,0.384909803
RNU12,0.855439864
FOXJ2,0.737359009
PWWP2A,0.950890778
RCL1,0.342021832
CCDC104,1
IPO7,0.577126512
CDH2,0.741666733
ASTN2,0.839557786
FAM21A,0.776817609
HYI,0.027234416
TRIB3,0.514611601
SF1,0.232802208
RASAL2,0.866285215
ROBO1,0.627677932
GPR98,0.854207446
VPS35,0.369049796
ZMIZ1,0.113637654
ULBP3,0.528073592
PAK1,0.932848988
LMNA,0.209748248
CISD1,0.618439905
AMOTL1,0.487876603
ING5,0.395299927
LOC642423,0.886351177
ZXDC,0.517198176
MORN1,0.364498833
PLCH2,0.985413815
CDK2AP2,0.510196277
PLEKHA1,0.791001683
ITGB1,2.54E-05
RTN4RL1,0.717143597
METTL12,0.75168012
C10orf10,0.857842972
SCAF8,0.000584273
POLD2,0.904388689
NAA25,0.466316414
POLB,0.113928204
ENDOG,0.520779659
CBX3,0.567196763
TP53BP2,0.729262396
BMI1,0.872562237
SAMD10,0.741233263
ENOPH1,0.846206377
VMP1,0.694460025
FAM57A,0.518107637
RPL7,0.113216128
FAM134A,0.782114546
C15orf59,0.577979907
PCYT1A,0.985533516
ARAP3,0.898974756
HEMK1,0.062467769
ARID1A,0.927226254
TFCP2,0.838851869
ASNSD1,0.197186386
TMEM14B,0.54817013
PDCL3,0.791648086
LIMA1,0.362021394
SAP30L,0.042006208
FAM107B,1
SH3BP5-AS1,0.979201352
C9orf9,0.273326063
TIMM17B,0.824175129
ATP7B,1
RND1,0.581331321
TMTC2,0.068128315
C15orf38-AP3S2,0.891687203
TPD52L2,0.580785108
CENPV,0.639258638
PRKD3,1.69E-19
LYRM4,0.844213487
ETV6,1
C18orf25,0.712913783
HIP1,0.733949145
MRPS25,0.549238184
GARNL3,0.693284374
DMTF1,0.799812934
PARP4,0.810468332
STK3,0.947607225
RNF149,0.582769832
TSPO,0.536842762
GUCY1B3,0.850436134
SIPA1L3,0.236276156
NET1,0.836466167
PNCK,0.003717504
SCN3B,0.818936513
FAM27E3,0.443370794
REXO1,0.391652463
VPS11,0.262787725
FAHD2A,4.63E-15
NME1,0.277550972
C15orf57,0.561688733
PUM2,0.888879962
TDG,0.96493615
TRUB1,0.647187283
NLGN2,0.7853389
GID4,0.051766982
LDOC1,0.380723044
CEP78,1
MRPL28,0.879499771
CPSF3,0.377100266
DDIT4,0.18279023
MRPL19,0.654579424
NLK,0.671476543
LMBR1L,0.073745401
LANCL2,0.02456154
SMG5,1
NDUFB11,0.409205411
ZNF710,0.024301823
SRSF9,0.663572542
HSDL1,0.869519455
APPL1,0.813649487
GOLGB1,0.676748153
ZSCAN25,0.500099829
NOTCH3,1
MON2,0.438515449
METRN,0.675224614
MYO19,0.948993202
TUBB6,0.758668761
FRS3,0.870329022
R3HDM2,0.290812141
FAT3,0.390546505
SLC25A38,0.993582326
TMEM87B,0.372242371
SNX3,0.856201909
LSMD1,0.322118422
MAN1B1,0.861699834
RNASET2,0.727928601
HAUS2,0.911205045
NR3C1,0.996280603
TRIM33,0.666811978
DRAM2,0.092269934
RBM23,0.712547079
VCAN,0.410963788
PXDC1,1
MB21D2,0.767261483
UCK2,0.003277779
ZCCHC11,1
PBDC1,0.257867134
MANBA,0.576550509
BRAT1,0.348476749
SPSB4,0.622225109
SLC25A36,5.33E-06
CXorf56,0.108040674
SNAI3,0.875058514
RNMT,0.93777207
SCARNA10,0.837548587
DNM2,0.657805479
ZNF326,0.246543415
ZNF614,0.137787596
GLO1,0.320548471
ATP5H,2.67E-138
DDX3X,0.978788062
BBX,0.123815136
RPS6KB2,0.047984426
ATP6V0A2,0.013486397
NUP153,0.970773619
AAED1,0.965808801
SETDB1,0.213204694
APOBEC3C,0.740946338
KLHDC8A,0.079504921
LRRC14,0.832731661
HDHD2,0.757390987
SETD3,0.528859313
IFI35,0.661701824
GLI3,0.549783284
ROCK1,1
SEC61B,0.238886316
KIAA1430,1
BEX1,0.911265695
DST,0.744110354
SLC2A1,0.116747761
FAM117B,0.692727909
FGFR1OP2,0.330636522
SAMD14,0.742893312
SEMA5A,0.233228463
METTL17,0.729821359
LEO1,0.020626152
IMP4,0.449263021
CDK8,0.998611473
ZNF593,0.092118006
SETMAR,0.078598484
STX18,0.516740038
CLCN3,0.978118776
LRFN3,0.499702877
URM1,0.070346313
SKI,0.376073402
FAM207A,0.903779368
MESDC2,0.960417915
FAM131B,0.753350234
NISCH,0.530123603
FAM206A,0.449468891
ERCC8,0.860129438
INTS6,0.394435499
SIRT5,0.89308356
PA2G4,0.035295263
ZNF432,0.065938164
BAG3,0.071102257
SLC3A2,0.453218654
POLR2I,0.981039367
HIST3H2A,0.198391018
RFX7,0.232459503
XPO7,0.846702996
SF3B1,0.545391165
RASA3,0.568121246
EFR3B,0.443370794
FSCN1,0.786032494
MIEF1,0.754054835
SRC,0.989747412
SRM,0.330813929
TRIM52-AS1,0.558347931
NPDC1,6.55E-15
PEX6,0.570766974
DNAJC9,0.011691608
TMBIM6,0.75690626
KIAA1598,0.93407885
ZSWIM3,0.04372396
FERMT2,0.759831583
CIDEB,0.679893997
SNORD116-8,0.225809909
NUPL1,0.759873122
ANGEL2,0.445433946
GRIA1,0.895058281
HM13,0.610538141
XPA,0.369451458
JUN,0.644623294
S100PBP,0.334633579
FCHSD1,0.64096409
FRMD4A,0.615366282
ZCCHC6,0.845514368
DHX9,0.015940402
TSPAN14,0.658709405
GTSE1,0.101607342
RHBDL3,0.300560262
PEF1,0.586624738
AK2,0.853213623
HARS2,0.143505968
CDC27,1
EDC3,0.927124325
PKIA,0.73214685
LEF1,0.872676258
HAGHL,0.873124084
CREBRF,0.795339751
IDI1,2.16E-43
PRKRA,0.578833259
TSFM,0.854495938
HIST1H4L,0.393781197
CTTNBP2NL,0.318251372
NDUFA3,0.493323025
CENPJ,0.423952956
ADSS,0.69298803
SOGA2,0.747301307
LENG8,0.282482117
ATP6V1E1,0.759671544
SH3BGRL,0.167157863
ERO1L,0.955265247
DUSP5,0.04318369
IGFBP2,0.554789574
BRI3,0.558201734
NUP188,0.590223158
FOXN3,1.18E-14
MIOS,0.435338655
GLDC,0.036028052
ALKBH4,0.815967305
SH3D21,0.878809028
RPL22,0.933098098
CCDC58,0.673229286
COQ3,0.216284709
NBR1,0.934400554
GLMN,0.375147009
PRPF38A,1
ACTA2-AS1,0.527433423
SZRD1,0.285255128
EIF3A,0.225016436
HIF3A,0.693239292
WBP4,1
PHF8,1
BPGM,0.716259815
DPP7,0.449794422
RAD51C,0.802022401
PAK2,0.824845662
CILP2,0.852828227
RGMB,0.435266516
NAV3,0.373987549
RBM15B,0.455967945
DDX59,0.249458151
EPC1,0.777010112
CAMK2N2,0.905071607
DHX57,0.122694144
UBAC2,0.966501559
SLC35A1,0.830105147
ACAD8,0.078453626
ZYG11B,0.859039538
PPIG,1
BLCAP,0.446018284
URI1,6.59E-05
ZBED6,0.65746146
ARHGAP1,2.01E-05
ZSCAN18,0.877379687
TONSL,0.962867485
KRI1,1
TBC1D4,0.6283892
JKAMP,0.261380011
HADHA,0.845509904
ZSWIM7,0.298715175
FNDC4,5.50E-26
HPCAL4,0.015110037
SNRPA1,0.009324863
YRDC,1
EPHA7,0.555249447
HCCS,0.938274456
GNG10,0.648818617
HIST2H2AC,0.53915717
PTAR1,0.315173058
BRF2,0.877053994
MPP6,0.732156124
HIBCH,0.627562679
H1F0,0.969964035
GRHPR,0.887105699
DDX51,0.956918874
MYC,0.30154254
ACOT13,0.630261817
WAPAL,1
C20orf96,0.89928034
FAM86A,0.931826102
MED17,0.641673324
DUSP10,0.557839188
GTF2IP1,0.619358493
RHOQ,0.838560228
PSD3,0.592630388
PHF3,0.864255248
FBXO46,0.776205502
GFRA2,0.882812403
EIF3E,0.809847155
LRRC16B,0.679217871
MAPK11,0.806505191
EIF4B,0.833497772
CHMP1A,0.763718086
TARDBP,0.781449096
TNPO1,0.872878291
COL1A2,0.585699184
ARFGEF2,0.986786471
CEP57,0.870426001
ZNF646,0.487274718
CTSK,0.996280603
PARP6,0.038264052
MYBBP1A,0.226790309
STAMBPL1,0.662489088
FZD7,0.875858734
2-Sep,0.707975039
UBE3B,0.588462205
STRA13,0.002188062
C20orf27,0.549759576
FUBP1,0.695554411
SCRN3,0.943722184
UROD,0.923436903
HINT3,0.570853588
ZNF429,0.371817831
KIAA2026,0.470069887
BBS7,0.288294911
CDC42,0.000150885
ITCH,0.455788394
WHAMM,0.602211007
RPN1,0.255944852
DNER,0.731297933
C8orf88,0.90462329
PLEC,0.105921922
TAF2,1
SLC9A7,0.504778511
AKT1,0.519419959
BIVM-ERCC5,0.717657223
ZNF569,0.961009286
ATP5J2,0.180762644
UBR4,0.823483903
TCP1,0.041565592
ZNF706,0.803768363
LINC00641,0.727638018
HMGXB4,0.422858809
LPCAT1,0.276661334
ZRSR2,0.215527428
RGCC,0.755700489
YPEL4,0.857849536
METTL14,0.771683961
PROSC,1
FAM120AOS,0.503449598
CCND3,0.898028663
SNURF,0.847764575
INO80B,0.754896067
PAIP2B,0.164155065
HIST1H2BD,0.192679643
TSEN34,1
CRTC3,0.702837164
MYL6,0.810351017
MAN2B1,0.068553366
RPRD1A,0.90462329
C1orf213,0.737734146
GFER,0.902309113
RHPN2,0.396809679
MAPK6,0.736228728
KAT7,0.903138785
MTA1,0.73755591
AIFM1,5.57E-05
CD276,0.888274905
SERPINH1,0.392656234
SEL1L3,0.525325732
PLEKHA8,0.930662662
INTS4,0.717274932
COX20,0.163258634
PPWD1,0.550964386
RFT1,0.001100966
RPL29,0.777010112
RCOR1,1
TIGD7,0.856718526
CCNH,0.412566114
CWC27,0.996653761
CEP57L1,0.519737623
ARRDC3,0.786875112
SULT4A1,0.742559466
NASP,0.731297933
KCNK3,0.903804287
PRELID1,0.035968022
RAI14,0.748034971
ADM,0.805849946
MRPL18,0.625736616
FAHD1,0.988468724
POU4F1,0.483383171
SPON1,0.641143431
ANXA2,0.878579626
HNRNPA0,0.947719014
SEC22A,0.422068345
RNASEH1,0.928995672
FBXW7,0.000260634
POP5,0.78508496
CHD1,0.66935564
CDK7,0.525759001
C9orf41,0.848324366
ATAD2,0.926654805
MYBL2,0.783745026
SRCAP,0.608272569
AKIRIN1,0.857778195
DHX32,0.407131776
WRB,0.341493877
SLC4A3,0.942520438
HERC4,0.984260395
SLC35A4,0.76699904
EPHB3,1
PKD1P1,0.495925827
ROCK2,0.025571276
NSA2,1
KIAA1033,1
TRIP10,0.013903815
DENND6B,1
DHCR7,0.329291916
PRPSAP2,0.081136263
PSMG1,0.796075119
SIRT2,0.765674766
DEGS1,0.852820125
KLHL20,0.784237621
RRM2B,0.14745472
KLHL13,0.394433355
RPRD1B,0.884969907
CD63,1
SRRM1,0.645293519
CACNA2D1,0.928056805
FBXL18,0.422353129
TFDP2,0.373293748
STAG3L5P-PVRIG2P-PILRB,1
EFNA4,0.476533755
HAUS4,0.669962598
LYRM1,0.731743353
C6orf89,0.454971167
SNHG9,0.211247959
CAMKK2,0.452214687
RPS10,0.451584034
PSMC3,0.952840558
SCLT1,0.989479178
TMED8,0.789040393
FAM69A,0.025078912
UBE2I,0.852084989
S100A6,0.843492182
CDKN1A,1
IDH3G,0.654436519
FBLN5,0.599815958
ZC3H15,0.071595106
RPA1,0.741273758
C20orf24,0.262786081
RBM28,0.380551318
METTL16,1
RNF24,0.04873622
TAF9B,0.912521116
SUCLA2,3.13E-05
GAB2,1
TCERG1,0.293683859
C1orf216,1
NFS1,0.389811568
LRFN5,0.921376991
METTL21A,0.560954729
MCRS1,0.24410045
IGFBP4,0.479150304
PIP5K1C,0.019002537
DGCR5,0.963038144
SNX29,0.648933213
H3F3B,0.293753678
ARFGAP1,0.603474413
ZNF786,0.781883449
UBE2A,0.610381898
DENND4A,0.014203561
SNAPC1,1
EXOC5,0.607330806
GTF2E1,0.843426736
FNIP1,5.54E-05
NDUFB8,0.651791802
LINC01503,0.50367359
RPS25,0.529761133
HECTD3,0.408393184
LRRC37B,0.190614231
MAL,0.213364007
PRKAB2,0.941749229
JAZF1,0.846707571
CSDE1,0.442214821
ATP13A3,0.495355725
AACS,3.68E-11
RALGPS1,0.857648531
LMNB2,0.314491384
SMCR8,1
TAX1BP1,0.385424024
CUL5,1
SOX5,0.333673141
GFRA3,0.230934518
C19orf38,0.284015789
EPB41L4A-AS1,0.925239274
AMMECR1L,0.847536663
ARHGEF10,0.888379662
AIF1L,0.776803051
HAPLN1,0.917308956
ABHD17C,0.998727577
SHC2,0.664125524
RPL35,0.102849794
ALKBH1,0.112717753
RABAC1,0.342269139
MFN1,0.435271657
WDR70,0.937742898
DNAJB4,0.912976115
MLYCD,0.516116117
NR1D2,0.824845662
SCUBE1,6.04E-05
SRBD1,0.027354777
DYM,0.361153075
HDAC1,0.731297933
FUCA1,1
SALL1,0.766862965
LAS1L,1
RPL14,0.781353424
RSPO1,0.765406764
TNRC6C,0.735901375
ITFG2,0.762857746
TMEM38B,0.809986764
PPM1D,0.418512988
CSNK1E,0.076166561
PJA2,0.827866338
DUS3L,0.572266957
GNA12,0.171725604
SLAIN1,0.374934958
ALG14,0.575787861
C17orf59,0.356788498
ERH,0.562274193
RAB9A,1
TBCB,0.660275828
CDK13,0.415701787
BRPF1,0.712654662
PRKRIR,0.070695361
CCZ1B,0.890494026
SNORA48,0.954404347
PSMC6,0.343704351
SPECC1L,0.074207632
SCAMP1,0.236778541
ENOX1,0.428161306
PIM2,0.598836131
SERTAD3,0.687358502
RPL18A,0.18543184
PDCD11,0.496833099
SLC7A4,0.988242984
C19orf43,0.865684578
PDE7A,3.37E-07
SUMF2,1.88E-05
DNAJB5,0.97291637
FAM21C,1.15E-204
RHOA,0.250588338
BAG5,1
RANBP6,0.439283722
TMEM134,0.697932411
NME6,0.988468724
TBCC,0.585603132
FOXK1,0.228588748
SEC24B,0.950997555
DYNC1LI1,0.259984399
HIST1H4E,0.025613938
RSBN1L-AS1,0.007335417
MPP3,0.657006007
RRBP1,1
MAPK12,0.692604126
MRPS23,0.290839758
RAB6A,0.004513182
BBS10,0.816527208
EXOSC5,0.376948105
GLUL,0.83636322
PPM1M,0.529181303
ADPGK,0.699525261
SRSF3,0.655367599
ZNF17,0.608496685
EIF3D,0.442024523
CTDNEP1,0.23073482
RPS23,0.894712694
PSMD4,0.254046968
TECPR1,0.941988356
CAPZA2,0.586348964
MAGI2,0.441056999
STT3B,0.341890942
PCDHB10,0.00536285
ASB13,0.313131685
ATN1,0.403480909
EIF1,0.729261958
CDC37,0.887956354
AHSA2,0.373291905
9-Mar,0.415610751
JAK1,0.903575513
C19orf66,0.471256199
SWAP70,0.809150862
PMPCA,0.980027484
RPS28,0.494288183
PINLYP,0.618531947
TCF7L1,0.13185524
RPL17,0.10738161
SIRT4,0.600582419
CCDC126,0.720274844
CASC15,1
RPS29,0.957896389
NIP7,0.038701156
SNX1,0.265241283
PREX2,0.917652447
EFNA3,0.119407604
PYCR1,0.437814601
TM7SF3,0.247688549
SLC25A4,0.03433281
DYNC2LI1,0.857040782
RNF7,0.318272236
CASC3,0.394847937
HTRA1,0.896359345
PAXBP1,1
TBC1D5,0.499970127
MYO1E,0.077564558
TP53INP2,0.005625606
ZNF33B,0.300758116
HNRNPR,0.961850981
MSL1,0.699759945
SIVA1,0.841622578
DNM3,0.981451093
GNB2,0.265016785
RBM4B,0.260939031
ABCE1,0.760153139
DEPTOR,0.604290809
TBC1D9B,0.02652148
ZNF845,0.091424355
TIMM8A,0.64272616
EIF2A,0.760439204
RBBP7,0.006660109
SERTAD1,0.659751553
SAE1,0.803647997
ARHGEF11,0.788476148
FBXO44,0.000345858
ARL6IP5,0.648100373
MYCL,0.925102165
GTF2H2B,0.468435449
FBXO5,0.426449001
HDLBP,1
MGST3,0.105592192
ST6GAL2,0.516322215
LGI1,0.91793026
ECSIT,0.055097498
RPL36A,0.563273018
TOP3A,0.935934813
TST,0.404089786
CRAMP1L,0.856724915
LRRTM2,0.568287467
RAB20,8.48E-06
ATXN10,0.495539772
PLEKHO1,0.815967305
SHF,0.796143223
FKBP10,0.648942089
FAM32A,0.993414619
SMAD4,0.979604178
ASL,0.779749107
ETNK1,0.853930034
IPW,0.568071004
TBCCD1,0.420392137
USP40,0.433584158
TTC8,0.886956913
CCT6A,4.44E-107
CLCC1,0.862805696
SDHAP1,0.919055334
HAGH,0.800573731
FXR2,1
RHOT1,0.530432196
C16orf87,0.91517963
RAD50,0.253457964
CFL1,0.385373498
ADAMTSL1,0.163796681
ACTR3,0.745355476
SEMA7A,0.008203359
SNX8,0.297424158
SDCBP,0.981054921
PANK3,0.276279386
INTS10,0.236162164
SMAD5,0.14298502
ADAM17,0.556821631
VAPB,0.823554938
TRAPPC11,0.675544763
CNOT6,0.010608933
CMTR1,0.347049377
GRINA,0.439582528
MZT2A,0.311756507
LDOC1L,0.90079744
FAM160B1,0.877032039
TMX3,0.58950592
INPP5K,0.811409006
C14orf166,0.146704351
SNRPD3,0.889477647
UTP18,0.000181336
IPO8,0.25153231
LNP1,5.53E-05
CENPM,0.063287528
PPM1H,0.136417489
DDX19A,0.627269635
NCK2,0.88584431
PFN1,0.647041092
MRPS27,0.288691602
SEL1L,0.303643755
SLC9B2,0.895763066
TMEM145,0.562938846
QSOX1,0.838566725
C16orf62,0.770830449
ING3,0.780860616
CCDC8,0.271907607
ARRB2,0.696552415
PRH1-PRR4,0.350440754
PCDH17,0.282054909
NRXN2,0.877480283
FBXO18,0.486683406
USP48,0.132510171
UQCRH,0.206133131
TPT1,0.308040884
GSTCD,0.610235264
LOC100129361,0.431231382
UBE2QL1,0.102019138
ADCY3,1
RBM10,0.716437538
SUV39H1,0.814359864
NARS,0.507492017
LMBRD2,0.852436144
HMGB2,0.415168332
C12orf49,0.349349807
GALNT13,0.545697174
ZNF414,0.641143431
CUL9,0.051007699
THUMPD3,0.839557786
B3GNT1,0.793112246
LOC285074,0.446645612
RAD1,1
HECTD1,0.129030967
ADA,0.08082332
RAB25,0.916711115
LRRC3,0.411184042
CKLF,0.804896939
VAMP2,0.384495523
DMKN,0.650919815
ANKRD13A,4.75E-11
LOC642361,0.895839784
OSTF1,0.282018055
CORO7,1
HCN3,0.970073975
RCN1,0.462423275
TMCO6,0.698509823
KIAA1551,0.959202612
C1R,0.079413578
AC084018.1,0.929177359
DAAM1,0.287806849
ARV1,0.736940917
ABHD12,1
NID1,6.86E-05
TFIP11,0.946444972
MSI2,0.97062112
PHF10,0.478442139
CCDC91,0.917652447
PDK1,1.69E-19
NEK4,0.128351303
IRX5,0.583007026
ATG3,0.011480471
FAM13A,0.120410119
ERICH1,0.44316045
PIGY,0.30691023
SULT1C4,0.464367991
TRIT1,0.545168347
OSBPL2,0.553618196
